rodata_off	key	variant	length	plaintext	source
0x009138a2	0x3137030b2137eb3b	counter_xor	32	З)ТЕнеПЫУ&СНайВБЛ?ЙВьсНКГ4АЬсьЕт	multi_variant
0x00913dc1	0xddeb5dd9c7d5f7e3	counter_xor	32	ЮБийшzЬгЮОщюж[МяУПпоуGГнТНатаvьш	multi_variant
0x00998c66	0xe7e1390df56b370f	counter_xor	32	схRЗяфщХлгAЫрерГмф^ЬсдуФне{ВлцЭЕ	multi_variant
0x00999eff	0x6b116531613b41e5	counter_xor	32	ААдф5еНаББцо6фМэЦЦбп7гЛшЛДащ0хКр	multi_variant
0x0099c96b	0xc54f8fef6967bbd7	counter_xor	32	ГШДхънлgХЧКиюссbИЫЙнатрaЙЬИкбуя`	multi_variant
0x0099f86b	0xfd45056379d7219d	counter_xor	32	ЮдAЫЖЦсЭмеN%*НпHнйOg<МяероLJФДчн	multi_variant
0x009a26ec	0xabd303255fd1271d	counter_xor	32	Ма-ртЕш%ЛншНуБ+!КонОрЦк#жлдЛъЮи 	multi_variant
0x009a2f35	0x8341c1370f6d3307	counter_xor	32	НцЖючтщSА РаякчVЮ&СбпоъQЦ0ЛгсльP	multi_variant
0x009a489b	0x5b81b3a17f999761	counter_xor	32	КЕйС[юрЩСЛиП)аямТНхH:мпХМАоJ=ивЖ	multi_variant
0x009b99c6	0xdf15c787eb8bd18f	counter_xor	32	кямКог_ъэрбЛьхDЮесшМяиMАнтпНЙйzБ	multi_variant
0x00a032ec	0x65c5c91ba3cbcf77	counter_xor	32	ШмоsкоеЕУрхlллфРТсиeммггВпй:нйхэ	multi_variant
0x8575d0	0x27d1e363737fbba9	counter_cumsum	8	Найдено	prefix_scan
0x85aa00	0xc54b5723f1bb3307	counter_cumsum	9	уверены,'	immediate_walker
0x008391de	0xd7d33b458387d1f5	counter_xor	32	Уяцюt;свЖрлгt<тьВсмфt=уыЬтне|>жз	multi_variant
0x00839acf	0x632df5fdf5c5fbd3	counter_xor	32	сиКесе-cтоХфпф.dунИгяф/eжйФх.х0f	multi_variant
0x00900420	0xe3fdbf235fa7c7fd	counter_cumsum	20	2ая панель, (+) меню	multi_variant
0x00997437	0x23db652581655311	counter_xor	32	НдhkзЯжиМеkhыХянЛчjiьОпоКсenвЙсл	multi_variant
0x0099c5aa	0x5f2b1bc14fb1fdd1	counter_xor	32	шменй+^ччндяо,[Ащокпл-TЮд0нсу.UЦ	multi_variant
0x009a06df	0x215faf29bb4d8b95	counter_xor	32	коя`wЙццхйр]tВЭйиесTuЬЩофдлOrЫЧв	multi_variant
0x009a11fc	0x5571470d9d0d6523	counter_xor	32	ШЗ@Стьn;ЧЫMПувH8ЫЬAЯржW9ЬВОноуi6	multi_variant
0x009a1ca3	0x43b1b5ab412b55b1	counter_xor	32	огхиу&Rйлбонр#Qжмансс Pжйюмпп!Wп	multi_variant
0x009a3c27	0x43ef13df67f7a36f	counter_xor	32	МИго]XъЙРХхбbYюОСКиеcZаХПЖйд`GбИ	multi_variant
0x009a6627	0x9ba723d997bb8141	counter_xor	32	ресq#eоБэйт\RiюЮщмуГEuаVоужяPtб}	multi_variant
0x009fd877	0xd3ed79a33dc90b3d	counter_xor	32	Ехх=+ъЛвЙок>xщОпСнй?IэНяЭмм@bуЯр	multi_variant
0x00a201a5	0x617549fbcd030f41	counter_xor	32	EсйлШая`FПмоЭррcGЫлнЩОяb@фаяЧЬчe	multi_variant
0x857728	0x9bfb6fe551c96181	counter_cumsum	10	Найден {Ч`	immediate_walker
0x857c08	0x9dcfc3b1450b25cd	counter_cumsum	8	Размер:	prefix_scan
0x8582f8	0x63b5e159d1356371	counter_cumsum	9	не можете	immediate_walker
0x858d38	0x11af317f19b1176f	counter_cumsum	11	сокета: 3KЩ	immediate_walker
0x8599d8	0x2de1b3e54b8fe961	counter_cumsum	8	ошибка:	prefix_scan
0x85a040	0xdfcb61f5734d13f3	counter_cumsum	10	NCA файлцв	immediate_walker
0x85b0d0	0x1bcb07e5f1e1d733	counter_cumsum	10	аватар..]5	immediate_walker
0x8fd278	0x17f10fdf890b991d	counter_cumsum	17	ЩюFфПpД~ц\hРсЦуМг	immediate_walker
0x900420	0xe3fdbf235fa7c7fd	counter_cumsum	21	2ая панель, (+) меню	immediate_walker
0x0085dac0	0xdfc3377757c7d1cb	counter_xor	32	мваQq1еыйтн^~>бФйтн^~>бФисм]}=аЕ	multi_variant
0x00999eef	0xc72dd1d5793b41f7	counter_xor	32	САдБяqрYЭБцшрrяlЩЦбэсsпcЧДаяэtоz	multi_variant
0x009a0a33	0x1fc9b9150b4d8987	counter_xor	32	ЕтпмwГTкЛусдtзWЭКЙраuыVКХОмлzьQЕ	multi_variant
0x009a119d	0x873d8b7b0bb7077b	counter_xor	32	ДазйДgPEЦжуоЦ@SLБАтхБ_ROАовиАt-B	multi_variant
0x009a1417	0x070981a3fd2965a9	counter_xor	32	шфиФя%И/ьцйсж$Й$ыюков+К;чал;т.Л6	multi_variant
0x009a1caf	0x590bdd9fc1334997	counter_xor	32	ИэпSАKХиФщвQчFОнГржUъEНуДву_э|Мю	multi_variant
0x009a2156	0x2f7fc3afcb834f51	counter_xor	32	Уйе.'F8йцул):AиуШто(э@йтювй+)Cов	multi_variant
0x009a774d	0x2921abad29c94559	counter_xor	32	,лXыь)юш/б+ыш)цч.4Yяз.бв)х-ресес	multi_variant
0x009c785a	0xd9f72fcf57f3e7cf	counter_xor	32	оГпTо/огпХбFп0ЭыяИлGя1нерЙРYр2юб	multi_variant
0x8582a8	0x673931653de3f76b	counter_cumsum	11	Файлы игГ'k	immediate_walker
0x858808	0x13d905d7c92be5c7	counter_cumsum	12	на SD карте	immediate_walker
0x85b128	0xe3fdbf235fa7c7fd	counter_cumsum	13	выбор, AЩеmмР	immediate_walker
