extending 239 unique hits...
offset	key	variant	length	plaintext
0x85a4f0	0x29f5832bb1159713	counter_cumsum	10	Информацл|
0x85abb0	0x05a1859fc91faf51	counter_cumsum	8	Информац
0x85b060	0xdd05515d8525233f	counter_cumsum	8	Информац
0x859e50	0xa9cbb3f5112bfd7b	counter_cumsum	8	Пожалуйс
0x85a1b8	0x3bf5c503ff4131cb	counter_cumsum	8	Пожалуйс
0x85aac8	0xdb338d1929fdc993	counter_cumsum	13	ЗавершенWF!ЦБ
0x857858	0xc3cb41a9e313a54f	simple_xor	8	копирова
0x857858	0xc3cb41a9e313a54f	counter_xor	8	копирова
0x857d70	0xa3f505a9b7c96fd1	simple_xor	16	ВосстанощJ\16Ы?У
0x85a388	0x956f59d165b3fd3d	simple_xor	9	ВосстаноW
0x857d70	0xa3f505a9b7c96fd1	counter_xor	16	ВосстаночU_>5З<Р
0x85a388	0x956f59d165b3fd3d	counter_xor	9	ВосстаноT
0x857d68	0x9f15c9a33b2d0d6f	counter_cumsum	10	Восстано%с
0x85aea8	0xe97ff1638509977f	simple_xor	10	РаспаковhГ
0x85aea8	0xe97ff1638509977f	counter_xor	8	Распаков
0x8588c0	0x359db5addd912dc7	simple_xor	9	Прерваноп
0x8588c0	0x359db5addd912dc7	counter_xor	11	ПрерваноъЭЧ
0x8593f8	0x0d6f63e7b153f1f7	simple_xor	11	ПолучениS'/
0x85abe8	0xe5830db1673f4f17	simple_xor	24	ПолучениLеMЙ[vPлсистемы.
0x85acf0	0xbf237f8f7f4531cd	simple_xor	9	ПолучениO
0x8593f8	0x0d6f63e7b153f1f7	counter_xor	11	Получени\$(
0x85abe8	0xe5830db1673f4f17	counter_xor	18	ПолучениCз2ЕXuWощв
0x85acf0	0xbf237f8f7f4531cd	counter_xor	9	ПолучениL
0x8589e0	0x05ad79a95dcda55b	counter_cumsum	8	Получени
0x8596f8	0x53db7b698d4dcf8b	counter_cumsum	8	Получени
0x858c18	0xb5235d29a90b1715	counter_cumsum	8	посылаем
0x8575d0	0x27d1e363737fbba9	counter_cumsum	8	Найдено 
0x858d88	0x09c5dfe7f1194f11	simple_xor	16	Закрытиесоединен
0x858d88	0x09c5dfe7f1194f11	counter_xor	16	ЗакрытиеппфгфЯфм
0x85a370	0x496bc9275f45812d	simple_xor	9	ПроверкаД
0x85a370	0x496bc9275f45812d	counter_xor	9	ПроверкаГ
0x859938	0xefc9f7495d2fc567	counter_cumsum	8	Проверка
0x85a230	0x6bbda3b733f199cf	counter_cumsum	9	Проверкаd
0x85a2a8	0xaff7c78d7d91c927	simple_xor	16	Проверяюсохранен
0x85a2a8	0xaff7c78d7d91c927	counter_xor	16	Проверяюэлкябайя
0x8598f0	0x8d0f5103d199b973	counter_cumsum	8	Проверяю
0x859098	0x198901bfcf232d03	simple_xor	8	Просмотр
0x859b48	0x9993bfd7855bd93f	simple_xor	8	Просмотр
0x85a0d8	0x1713e5ade355675d	simple_xor	10	ПросмотрсР
0x859098	0x198901bfcf232d03	counter_xor	8	Просмотр
0x859b48	0x9993bfd7855bd93f	counter_xor	9	Просмотрp
0x85a0d8	0x1713e5ade355675d	counter_xor	10	ПросмотрпЩ
0x858fa8	0xc367335909bdbb4b	counter_cumsum	9	Просмотрз
0x859bb0	0xa989514905cf638f	counter_cumsum	8	Просмотр
0x8579b8	0x73ed43b1ff431583	simple_xor	17	Обновленверсии дl
0x85ac98	0xe985d50fe7e75725	simple_xor	8	Обновлен
0x85ac80	0xddc19fe5fbe11b0f	simple_xor	18	Обновленвремени.7е
0x8579b8	0x73ed43b1ff431583	counter_xor	17	Обновленпфу,йн#цj
0x85ac98	0xe985d50fe7e75725	counter_xor	8	Обновлен
0x85ac80	0xddc19fe5fbe11b0f	counter_xor	18	ОбновленхуфйфЯй-)ц
0x85abd0	0x29af016ff9cba1c1	simple_xor	8	Обновить
0x85abd0	0x29af016ff9cba1c1	counter_xor	8	Обновить
0x858c28	0xabe1412985df8513	counter_cumsum	11	СвободноС;s
0x858900	0x213d593f1563257d	simple_xor	10	ИспользоLЭ
0x85af38	0x7f55d5fb330f754b	simple_xor	13	Использочr)<-
0x858900	0x213d593f1563257d	counter_xor	9	ИспользоO
0x85af38	0x7f55d5fb330f754b	counter_xor	13	Использоыq6;*
0x859c48	0x2571811187f15535	counter_cumsum	14	Использо8'i~4н
0x85a9a8	0x57a5a7e10b3d6153	simple_xor	9	пользова&
0x85af48	0x958f5517a72771cd	simple_xor	8	пользова
0x85a9a8	0x57a5a7e10b3d6153	counter_xor	9	пользова!
0x85af48	0x958f5517a72771cd	counter_xor	8	пользова
0x8588c8	0x359db5addd912dc7	counter_cumsum	9	пользоваЕ
0x858a40	0x3799a7dddf672383	counter_cumsum	11	пользовай"[
0x8fd2b0	0x999d4b3b8b37d57d	simple_xor	16	Предупреугйинж9#
0x8fd2b0	0x999d4b3b8b37d57d	counter_xor	16	Предупреждения: 
0x85b280	0x65d9f51b2be54da7	counter_cumsum	8	программ
0x85a010	0x839b39bdc14f89d9	counter_cumsum	8	Выключит
0x85aaf8	0xf9f103f1d567cf0d	counter_cumsum	9	прошивки(
0x858c20	0xb5235d29a90b1715	counter_cumsum	8	файла   
0x858fb8	0x53e7bf41492b2ddb	simple_xor	8	приложен
0x858fb8	0x53e7bf41492b2ddb	counter_xor	8	приложен
0x85aa78	0xa77961a76da12f81	counter_cumsum	14	приложенpdзNPж
0x857fe8	0x5725037de57de79f	simple_xor	16	Регистрафайла {}
0x858240	0x812f5d012f8f15db	simple_xor	8	Регистра
0x857fe8	0x5725037de57de79f	counter_xor	16	РегистраЫниоб'xr
0x858240	0x812f5d012f8f15db	counter_xor	8	Регистра
0x85b068	0x313d6123bd053b73	simple_xor	10	уверены ]L
0x85b068	0x313d6123bd053b73	counter_xor	10	уверены ZK
0x85a5a8	0x879b751539874163	counter_cumsum	8	параметр
0x85b0b0	0x872deb877559312b	counter_cumsum	8	аргумент
0x85baa0	0x15697f77f729ab49	counter_cumsum	15	значение) : {}%
0x85a550	0x69e7c3df9353fb03	counter_cumsum	9	значениеD
0x859598	0x813373df510f1f1f	simple_xor	12	СброситьтЧСЩ
0x859598	0x813373df510f1f1f	counter_xor	14	СброситьКаЛЧ,В
0x858d90	0x09c5dfe7f1194f11	simple_xor	8	соединен
0x85a170	0xf5078551bdb73129	simple_xor	10	соединеншp
0x858d90	0x09c5dfe7f1194f11	counter_xor	8	соединен
0x85a170	0xf5078551bdb73129	counter_xor	10	соединеньs
0x85a8c0	0x9dbdb54f6de7c5dd	simple_xor	9	Невозможп
0x85a8c0	0x9dbdb54f6de7c5dd	counter_xor	9	Невозможс
0x8575f0	0xef3dd5d1998f25b3	counter_cumsum	10	НевозможЮъ
0x857870	0x55f5332189f12dcf	counter_cumsum	11	НевозможoНe
0x857ed8	0xe7e7dd2503bd2101	counter_cumsum	11	Невозмож~k7
0x858c58	0x9d6d6b99238f271d	counter_cumsum	9	Невозможж
0x85b028	0x85654fddffad496d	counter_cumsum	9	Невозмож~
0x857d08	0xedbf0d572d3bf945	counter_cumsum	10	устройст \
0x8fbb88	0x515b9db35bef112d	simple_xor	35	игры      : {:d} часов {:02d} минут
0x8fbb88	0x515b9db35bef112d	counter_xor	29	игры    ##%'|9c~"эъуиу&y'5/ax
0x8fbbe0	0xb515639d1f513507	counter_cumsum	14	игры    /25tw~
0x8f75a8	0x311d53736f8f7df5	counter_cumsum	16	альбома грЛ<ЙЦКО
0x85b2b8	0x1b9511fd65678b9f	simple_xor	9	ШифрованM
0x85b2b8	0x1b9511fd65678b9f	counter_xor	9	Шифрованr
0x85f688	0x0b9727712bd3710f	counter_cumsum	18	зарегистрированный
0x8577d8	0x9789ed57b36bd9ef	simple_xor	11	обновленЯа$
0x85ace0	0x7991f55d09b5a18f	simple_xor	8	обновлен
0x8577d8	0x9789ed57b36bd9ef	counter_xor	11	обновленНб#
0x85ace0	0x7991f55d09b5a18f	counter_xor	8	обновлен
0x859a68	0xe34defc71b53b787	counter_cumsum	10	обновлен_+
0x85acb0	0xc5c90dcb21b7db71	counter_cumsum	12	обновленр,ДB
0x85ad20	0x49b763e7298b2709	counter_cumsum	8	обновлен
0x85ad68	0xed2351b3455fab17	counter_cumsum	10	обновлен],
0x85ac18	0xa10fcbe1690f7d65	simple_xor	11	информацпЮC
0x85ac18	0xa10fcbe1690f7d65	counter_xor	11	информацсЦ\
0x859ee0	0x5571470d9d0d6523	counter_cumsum	9	информацЦ
0x8fb808	0xa3af55a9174fa953	counter_cumsum	10	Перемещеск
0x859590	0x3711e585f3dd1175	simple_xor	8	Перемест
0x85aec8	0x617583af7ded65cb	simple_xor	11	Переместiв 
0x859590	0x3711e585f3dd1175	counter_xor	8	Перемест
0x85aec8	0x617583af7ded65cb	counter_xor	11	Переместnт#
