prefix	variant	key	offset
Удаление	simple_xor	0x6d9fdb5581618be7	0x858cf8
Удаление	simple_xor	0x5181912f67c38711	0x8594f0
Удаление	simple_xor	0x7fd7196df1db7f3d	0x85a258
Удаление	simple_xor	0xcb318351bdc9ff87	0x85a2c0
Удаление	simple_xor	0xcd658f89072f5d47	0x85a310
Удаление	simple_xor	0x717d6f55092b7f55	0x85a330
Удаление	simple_xor	0x61374ff9f9f723eb	0x85aae0
Удаление	counter_xor	0xb1b93f7d55bdd511	0x858870
Удаление	counter_xor	0x6d9fdb5581618be7	0x858cf8
Удаление	counter_xor	0x5181912f67c38711	0x8594f0
Удаление	counter_xor	0x7fd7196df1db7f3d	0x85a258
Удаление	counter_xor	0xcb318351bdc9ff87	0x85a2c0
Удаление	counter_xor	0xcd658f89072f5d47	0x85a310
Удаление	counter_xor	0x717d6f55092b7f55	0x85a330
Удаление	counter_xor	0x61374ff9f9f723eb	0x85aae0
Удаление	counter_cumsum	0x998521a5b12781c5	0x857790
Удаление	counter_cumsum	0x8761cdb90f0323f9	0x857850
Удаление	counter_cumsum	0x2921abad29c94559	0x858018
Удаление	counter_cumsum	0x4bd12f5955f57de5	0x858218
Удаление	counter_cumsum	0xf79b4d9d8f817f73	0x858a60
Удаление	counter_cumsum	0x298f5f038fbd5d53	0x85a2a0
Удаление	counter_cumsum	0x331b85efd39b2b67	0x85a2c8
Удаление	counter_cumsum	0x536bcb5581734b61	0x85a870
Удаление	counter_cumsum	0xed69a159559f51bd	0x85ab90
номер	counter_cumsum	0x07392939ad956309	0x8fdae0
настройки...	simple_xor	0xa9d5e93f3111975b	0x8fd2e8
настройки...	counter_xor	0xa9d5e93f3111975b	0x8fd2e8
Завершено	counter_cumsum	0xdb338d1929fdc993	0x85aac8
Загрузка	counter_cumsum	0x0dc505f513f12d2d	0x859f38
Предупреждение	simple_xor	0x999d4b3b8b37d57d	0x8fd2b0
Предупреждение	counter_xor	0x999d4b3b8b37d57d	0x8fd2b0
Обновить	simple_xor	0x29af016ff9cba1c1	0x85abd0
Обновить	counter_xor	0x29af016ff9cba1c1	0x85abd0
Установка	simple_xor	0x69318d016f4b3dcf	0x8581b8
Установка	simple_xor	0xdb05895585bd159d	0x859fc8
Установка	simple_xor	0xa9b7bdafd5f5d93d	0x85a130
Установка	simple_xor	0x0d6f3f4dcf7de7f7	0x85a140
Установка	counter_xor	0x69318d016f4b3dcf	0x8581b8
Установка	counter_xor	0xdb05895585bd159d	0x859fc8
Установка	counter_xor	0xa9b7bdafd5f5d93d	0x85a130
Установка	counter_xor	0x0d6f3f4dcf7de7f7	0x85a140
Установка	counter_cumsum	0x2d6f036d75d789f1	0x858290
Установка	counter_cumsum	0xa5cd0bf3e36f4743	0x859b68
Установка	counter_cumsum	0x0133e303bded29ab	0x85a0e8
Закрытие	simple_xor	0x09c5dfe7f1194f11	0x858d88
Закрытие	counter_xor	0x09c5dfe7f1194f11	0x858d88
Сохранение	simple_xor	0xbbc3b7a1676f8991	0x859878
Сохранение	counter_xor	0xbbc3b7a1676f8991	0x859878
Сохранение	counter_cumsum	0xed030bf9afedd19d	0x858ac8
