rodata_off	variant	key	clean_len	total_len	clean_text
0x8593f8	simple_xor	0x0d6f63e7b153f1f7	8	11	Получени
0x85abe8	simple_xor	0xe5830db1673f4f17	8	24	Получени
0x85acf0	simple_xor	0xbf237f8f7f4531cd	8	9	Получени
0x8589e0	counter_cumsum	0x05ad79a95dcda55b	8	8	Получени
0x8596f8	counter_cumsum	0x53db7b698d4dcf8b	8	8	Получени
0x858c18	counter_cumsum	0xb5235d29a90b1715	8	8	посылаем
0x859938	counter_cumsum	0xefc9f7495d2fc567	8	8	Проверка
0x85a230	counter_cumsum	0x6bbda3b733f199cf	8	9	Проверка
0x8598f0	counter_cumsum	0x8d0f5103d199b973	8	8	Проверяю
0x859098	simple_xor	0x198901bfcf232d03	8	8	Просмотр
0x859b48	simple_xor	0x9993bfd7855bd93f	8	8	Просмотр
0x859bb0	counter_cumsum	0xa989514905cf638f	8	8	Просмотр
0x85ac98	simple_xor	0xe985d50fe7e75725	8	8	Обновлен
0x85abd0	simple_xor	0x29af016ff9cba1c1	8	8	Обновить
0x858900	simple_xor	0x213d593f1563257d	8	10	Использо
0x85af48	simple_xor	0x958f5517a72771cd	8	8	пользова
0x85b280	counter_cumsum	0x65d9f51b2be54da7	8	8	программ
0x85a010	counter_cumsum	0x839b39bdc14f89d9	8	8	Выключит
0x858fb8	simple_xor	0x53e7bf41492b2ddb	8	8	приложен
0x85aa78	counter_cumsum	0xa77961a76da12f81	8	14	приложен
0x858240	simple_xor	0x812f5d012f8f15db	8	8	Регистра
0x85a5a8	counter_cumsum	0x879b751539874163	8	8	параметр
0x85b0b0	counter_cumsum	0x872deb877559312b	8	8	аргумент
0x85a550	counter_cumsum	0x69e7c3df9353fb03	8	9	значение
0x858d90	simple_xor	0x09c5dfe7f1194f11	8	8	соединен
0x857870	counter_cumsum	0x55f5332189f12dcf	8	11	Невозмож
0x857ed8	counter_cumsum	0xe7e7dd2503bd2101	8	11	Невозмож
0x85b028	counter_cumsum	0x85654fddffad496d	8	9	Невозмож
0x85b2b8	simple_xor	0x1b9511fd65678b9f	8	9	Шифрован
0x85ace0	simple_xor	0x7991f55d09b5a18f	8	8	обновлен
0x85ad20	counter_cumsum	0x49b763e7298b2709	8	8	обновлен
0x859590	simple_xor	0x3711e585f3dd1175	8	8	Перемест
0x85aec8	simple_xor	0x617583af7ded65cb	8	11	Перемест
0x8575d0	counter_cumsum	0x27d1e363737fbba9	7	8	Найдено
0x85a5a0	counter_cumsum	0x879b751539874163	6	6	Сохран
0x858c20	counter_cumsum	0xb5235d29a90b1715	5	8	файла
